-1055.2,4448,27011
-1054.8,4446,27009
-1054.4,4444,27007
-1054,4452,27006
-1053.6,4456,27004
-1053.3,4459,27001
-1052.9,4465,26998
-1052.5,4474,26995
-1052.1,4474,26992
-1051.7,4486,26989
-1051.3,4472,26986
-1050.9,4462,26983
-1050.5,4456,26980
-1050.1,4447,26977
-1049.7,4433,26974
-1049.3,4418,26971
-1048.9,4437,26969
-1048.5,4429,26966
-1048.1,4435,26963
-1047.7,4438,26960
-1047.3,4434,26957
-1046.9,4425,26954
-1046.5,4428,26951
-1046.1,4423,26947
-1045.7,4414,26944
-1045.3,4405,26940
-1044.9,4392,26935
-1044.5,4381,26929
-1044.1,4382,26924
-1043.7,4385,26918
-1043.3,4370,26912
-1042.9,4373,26907
-1042.5,4379,26902
-1042.1,4380,26898
-1041.7,4380,26894
-1041.3,4373,26891
-1040.9,4377,26889
-1040.5,4359,26887
-1040.1,4352,26887
-1039.7,4356,26887
-1039.3,4350,26887
-1039,4354,26888
-1038.6,4344,26889
-1038.2,4340,26889
-1037.8,4320,26890
-1037.4,4314,26889
-1037,4316,26888
-1036.6,4317,26886
-1036.2,4326,26883
-1035.8,4332,26879
-1035.4,4322,26875
-1035,4325,26869
-1034.6,4317,26864
-1034.2,4316,26858
-1033.8,4316,26853
-1033.4,4313,26847
-1033,4313,26841
-1032.6,4314,26837
-1032.2,4329,26834
-1031.9,4330,26834
-1031.5,4319,26835
-1031.1,4306,26837
-1030.7,4300,26840
-1030.3,4302,26845
-1029.9,4305,26852
-1029.5,4312,26863
-1029.1,4305,26873
-1028.7,4295,26886
-1028.3,4291,26902
-1027.9,4291,26914
-1027.5,4285,26928
-1027.1,4286,26942
-1026.7,4281,26957
-1026.3,4275,26970
-1025.9,4273,26983
-1025.5,4281,26996
-1025.1,4288,27007
-1024.7,4294,27016
-1024.3,4271,27022
-1023.9,4256,27027
-1023.5,4252,27030
-1023.2,4239,27031
-1022.8,4240,27031
-1022.4,4238,27030
-1022,4243,27027
-1021.6,4258,27023
-1021.2,4248,27017
-1020.8,4235,27010
-1020.4,4236,27001
-1020,4233,26991
-1019.6,4221,26980
-1019.2,4210,26968
-1018.8,4214,26954
-1018.4,4193,26940
-1018,4187,26923
-1017.7,4191,26907
-1017.3,4204,26890
-1016.9,4218,26871
-1016.5,4234,26852
-1016.1,4239,26833
-1015.7,4250,26815
-1015.3,4257,26796
-1014.9,4259,26778
-1014.5,4261,26763
-1014.1,4271,26748
-1013.7,4272,26734
-1013.4,4284,26722
-1013,4282,26713
-1012.6,4285,26707
-1012.2,4289,26701
-1011.8,4296,26699
-1011.4,4306,26698
-1011.1,4308,26699
-1010.7,4315,26702
-1010.3,4316,26706
-1009.9,4321,26711
-1009.5,4331,26718
-1009.1,4335,26725
-1008.7,4336,26733
-1008.3,4347,26739
-1008,4357,26745
-1007.6,4367,26750
-1007.2,4365,26754
-1006.8,4372,26757
-1006.4,4374,26760
-1006,4381,26761
-1005.6,4390,26762
-1005.2,4388,26763
-1004.9,4394,26763
-1004.5,4402,26764
-1004.1,4404,26764
-1003.7,4420,26765
-1003.3,4416,26766
-1002.9,4418,26768
-1002.6,4429,26770
-1002.2,4420,26773
-1001.8,4430,26775
-1001.4,4421,26778
-1001,4453,26782
-1000.7,4443,26787
-1000.3,4476,26791
-999.89,4469,26795
-999.5,4462,26800
-999.12,4449,26804
-998.74,4446,26808
-998.35,4445,26812
-997.97,4438,26815
-997.59,4439,26819
-997.21,4446,26822
-996.83,4453,26826
-996.44,4457,26829
-996.06,4459,26833
-995.68,4472,26837
-995.3,4473,26842
-994.92,4470,26847
-994.54,4466,26852
-994.16,4473,26857
-993.78,4468,26862
-993.4,4472,26867
-993.02,4468,26873
-992.64,4467,26878
-992.26,4483,26883
-991.88,4472,26889
-991.51,4475,26894
-991.13,4478,26898
-990.76,4483,26901
-990.39,4481,26904
-990.01,4481,26907
-989.64,4477,26910
-989.27,4488,26913
-988.89,4478,26915
-988.52,4480,26919
-988.15,4481,26923
-987.78,4485,26926
-987.41,4485,26929
-987.04,4487,26932
-986.67,4486,26935
-986.3,4487,26938
-985.93,4483,26940
-985.56,4491,26943
-985.19,4485,26944
-984.82,4486,26946
-984.45,4481,26947
-984.08,4482,26947
-983.71,4484,26947
-983.33,4477,26947
-982.96,4480,26947
-982.6,4482,26947
-982.23,4484,26946
-981.86,4504,26945
-981.49,4497,26944
-981.13,4504,26943
-980.76,4543,26942
-980.39,4512,26942
-980.02,4526,26941
-979.66,4529,26941
-979.29,4535,26941
-978.93,4514,26941
-978.56,4496,26942
-978.19,4473,26941
-977.82,4489,26940
-977.45,4435,26939
-977.09,4415,26938
-976.72,4416,26937
-976.35,4421,26936
-975.99,4432,26934
-975.62,4461,26932
-975.26,4502,26930
-974.89,4509,26928
-974.53,4519,26925
-974.16,4519,26923
-973.79,4491,26919
-973.42,4423,26916
-973.05,4374,26911
-972.69,4351,26908
-972.31,4327,26905
-971.95,4272,26902
-971.58,4244,26897
-971.22,4247,26892
-970.85,4253,26886
-970.49,4263,26880
-970.12,4285,26874
-969.76,4300,26868
-969.39,4305,26863
-969.03,4332,26857
-968.67,4330,26852
-968.3,4339,26849
-967.93,4343,26846
-967.57,4354,26844
-967.2,4363,26842
-966.83,4364,26842
-966.46,4364,26844
-966.09,4359,26844
-965.73,4364,26846
-965.36,4362,26847
-964.99,4367,26848
-964.63,4375,26848
-964.27,4377,26847
-963.9,4387,26846
-963.54,4415,26845
-963.17,4416,26843
-962.81,4427,26839
-962.44,4444,26834
-962.08,4473,26828
-961.71,4488,26822
-961.35,4474,26815
-960.98,4470,26809
-960.62,4477,26801
-960.25,4493,26794
-959.89,4500,26788
-959.53,4526,26780
-959.17,4572,26773
-958.81,4556,26767
-958.44,4537,26761
-958.08,4539,26756
-957.72,4546,26751
-957.36,4535,26747
-957,4529,26742
-956.64,4512,26738
-956.28,4469,26735
-955.92,4439,26732
-955.56,4424,26728
-955.2,4411,26726
-954.83,4419,26725
-954.47,4422,26723
-954.11,4413,26721
-953.74,4411,26718
-953.38,4410,26716
-953.01,4402,26713
-952.65,4401,26710
-952.29,4408,26707
-951.93,4407,26704
-951.57,4391,26701
-951.21,4393,26697
-950.84,4388,26693
-950.48,4383,26689
-950.12,4381,26685
-949.75,4377,26681
-949.39,4376,26678
-949.03,4375,26675
-948.67,4373,26672
-948.31,4371,26670
-947.95,4384,26668
-947.59,4369,26667
-947.23,4376,26665
-946.86,4364,26665
-946.5,4365,26666
-946.14,4367,26666
-945.78,4366,26666
-945.41,4370,26667
-945.05,4365,26667
-944.69,4365,26667
-944.33,4366,26668
-943.97,4370,26668
-943.61,4370,26669
-943.24,4372,26669
-942.88,4376,26671
-942.52,4375,26672
-942.16,4378,26671
-941.8,4378,26671
-941.44,4378,26671
-941.08,4379,26671
-940.72,4376,26671
-940.36,4387,26672
-940,4387,26674
-939.64,4398,26677
-939.28,4396,26679
-938.92,4410,26680
-938.56,4408,26681
-938.2,4414,26681
-937.84,4411,26681
-937.48,4426,26681
-937.12,4422,26682
-936.76,4416,26682
-936.4,4415,26681
-936.04,4411,26681
-935.68,4413,26680
-935.33,4407,26679
-934.97,4411,26678
-934.61,4414,26677
-934.25,4420,26676
-933.89,4434,26676
-933.53,4436,26675
-933.18,4443,26675
-932.82,4447,26675
-932.46,4453,26676
-932.09,4446,26677
-931.73,4453,26678
-931.37,4441,26679
-931.01,4437,26682
-930.65,4437,26684
-930.29,4436,26686
-929.93,4433,26686
-929.57,4430,26686
-929.21,4427,26686
-928.86,4431,26685
-928.5,4425,26683
-928.15,4435,26682
-927.79,4434,26679
-927.44,4442,26677
-927.08,4447,26674
-926.73,4448,26671
-926.37,4461,26667
-926.02,4461,26664
-925.66,4458,26658
-925.3,4440,26653
-924.94,4429,26648
-924.58,4430,26643
-924.23,4427,26638
-923.87,4402,26632
-923.51,4394,26627
-923.15,4383,26623
-922.79,4380,26619
-922.43,4392,26615
-922.07,4383,26611
-921.71,4398,26608
-921.35,4366,26605
-920.99,4379,26602
-920.63,4372,26599
-920.27,4374,26596
-919.91,4400,26593
-919.55,4395,26591
-919.19,4420,26590
-918.83,4425,26589
-918.47,4430,26588
-918.11,4424,26589
-917.74,4426,26591
-917.38,4409,26592
-917.02,4405,26594
-916.65,4406,26597
-916.29,4412,26601
-915.92,4422,26605
-915.56,4433,26609
-915.2,4438,26613
-914.84,4439,26617
-914.48,4443,26620
-914.12,4442,26623
-913.75,4442,26626
-913.39,4443,26631
-913.02,4459,26633
-912.66,4459,26637
-912.3,4463,26641
-911.93,4467,26646
-911.57,4470,26650
-911.2,4471,26652
-910.83,4464,26654
-910.47,4463,26658
-910.1,4468,26661
-909.74,4484,26666
-909.38,4488,26669
-909.01,4504,26672
-908.65,4497,26675
-908.29,4498,26679
-907.92,4503,26681
-907.55,4513,26684
-907.19,4513,26687
-906.82,4507,26689
-906.46,4517,26691
-906.09,4517,26694
-905.73,4516,26696
-905.36,4514,26699
-904.99,4508,26702
-904.63,4509,26704
-904.26,4515,26707
-903.9,4511,26710
-903.53,4520,26712
-903.16,4517,26714
-902.8,4521,26716
-902.43,4518,26719
-902.06,4522,26722
-901.69,4515,26725
-901.32,4524,26728
-900.95,4518,26732
-900.58,4526,26737
-900.21,4530,26743
-899.84,4528,26751
-899.47,4521,26757
-899.11,4532,26762
-898.74,4518,26767
-898.37,4524,26775
-898,4522,26782
-897.63,4531,26788
-897.27,4535,26795
-896.91,4549,26801
-896.54,4542,26806
-896.18,4542,26812
-895.82,4526,26816
-895.46,4528,26821
-895.1,4525,26826
-894.74,4515,26828
-894.37,4520,26833
-894.01,4514,26838
-893.65,4510,26841
-893.29,4511,26845
-892.92,4508,26847
-892.56,4504,26850
-892.19,4507,26853
-891.83,4513,26855
-891.46,4499,26857
-891.09,4504,26859
-890.73,4490,26861
-890.36,4486,26864
-890,4492,26867
-889.63,4483,26869
-889.26,4474,26871
-888.9,4478,26873
-888.54,4484,26875
-888.17,4462,26876
-887.81,4458,26877
-887.45,4452,26877
-887.09,4454,26877
-886.73,4454,26877
-886.37,4440,26877
-886.01,4433,26876
-885.64,4429,26876
-885.27,4415,26877
-884.91,4439,26876
-884.55,4406,26877
-884.18,4403,26877
-883.82,4401,26878
-883.45,4390,26880
-883.09,4395,26881
-882.73,4382,26883
-882.36,4378,26885
-882,4385,26886
-881.64,4374,26888
-881.28,4376,26891
-880.91,4380,26893
-880.55,4382,26895
-880.19,4403,26899
-879.83,4400,26903
-879.47,4391,26905
-879.11,4393,26908
-878.75,4394,26911
-878.39,4396,26913
-878.03,4395,26914
-877.67,4394,26916
-877.32,4397,26918
-876.96,4405,26918
-876.59,4400,26919
-876.23,4401,26918
-875.87,4404,26918
-875.51,4408,26915
-875.15,4419,26913
-874.79,4416,26911
-874.44,4421,26909
-874.08,4422,26907
-873.72,4425,26904
-873.36,4432,26902
-873,4435,26899
-872.64,4440,26896
-872.28,4442,26894
-871.92,4453,26893
-871.55,4456,26892
-871.19,4463,26890
-870.83,4466,26888
-870.46,4473,26885
-870.09,4473,26882
-869.73,4474,26879
-869.36,4477,26875
-869,4495,26871
-868.63,4508,26865
-868.26,4514,26860
-867.89,4523,26855
-867.53,4524,26849
-867.17,4525,26842
-866.8,4539,26835
-866.43,4529,26828
-866.07,4514,26821
-865.7,4519,26813
-865.33,4511,26805
-864.97,4521,26797
-864.61,4527,26789
-864.24,4515,26781
-863.87,4519,26774
-863.51,4524,26767
-863.15,4523,26760
-862.78,4523,26753
-862.42,4522,26746
-862.06,4523,26740
-861.7,4523,26736
-861.34,4531,26731
-860.98,4527,26727
-860.61,4521,26722
-860.25,4524,26719
-859.88,4525,26716
-859.52,4522,26714
-859.16,4524,26711
-858.8,4522,26709
-858.43,4525,26706
-858.07,4531,26704
-857.71,4525,26701
-857.34,4524,26698
-856.98,4528,26695
-856.61,4527,26691
-856.25,4527,26688
-855.88,4532,26684
-855.52,4524,26680
-855.15,4526,26676
-854.79,4524,26671
-854.43,4524,26666
-854.06,4524,26661
-853.69,4520,26656
-853.33,4523,26652
-852.96,4522,26648
-852.6,4531,26644
-852.23,4528,26640
-851.86,4527,26638
-851.5,4529,26637
-851.13,4523,26635
-850.76,4521,26634
-850.39,4525,26634
-850.02,4526,26634
-849.65,4521,26635
-849.28,4526,26636
-848.91,4529,26638
-848.54,4530,26641
-848.17,4524,26645
-847.8,4525,26651
-847.43,4527,26659
-847.06,4527,26667
-846.69,4515,26678
-846.32,4529,26689
-845.95,4542,26702
-845.58,4539,26717
-845.21,4534,26731
-844.83,4531,26745
-844.46,4517,26760
-844.09,4502,26775
-843.71,4496,26789
-843.34,4492,26802
-842.97,4492,26816
-842.6,4542,26828
-842.22,4514,26839
-841.85,4529,26850
-841.47,4519,26861
-841.1,4449,26871
-840.73,4376,26879
-840.35,4345,26888
-839.97,4321,26894
-839.6,4308,26899
-839.23,4292,26905
-838.85,4288,26911
-838.48,4259,26915
-838.1,4248,26920
-837.73,4199,26926
-837.35,4169,26933
-836.98,4160,26940
-836.61,4150,26946
-836.23,4136,26952
-835.86,4108,26958
-835.48,4080,26963
-835.11,4071,26969
-834.73,4098,26975
-834.35,4140,26980
-833.98,4194,26986
-833.61,4219,26992
-833.23,4170,26998
-832.85,4070,27003
-832.48,4016,27007
-832.1,3984,27011
-831.72,3982,27014
-831.34,4024,27016
-830.96,4074,27017
-830.58,4136,27017
-830.2,4176,27017
-829.82,4194,27015
-829.44,4216,27013
-829.06,4235,27009
-828.68,4253,27005
-828.3,4277,27000
-827.91,4295,26995
-827.53,4328,26988
-827.15,4391,26979
-826.77,4394,26969
-826.39,4386,26957
-826,4366,26942
-825.62,4386,26926
-825.24,4442,26908
-824.85,4480,26887
-824.47,4459,26865
-824.08,4431,26843
-823.7,4382,26821
-823.31,4375,26799
-822.93,4380,26778
-822.54,4392,26759
-822.16,4393,26741
-821.77,4407,26726
-821.38,4376,26713
-821,4370,26702
-820.61,4380,26693
-820.23,4405,26686
-819.84,4387,26680
-819.45,4380,26678
-819.06,4371,26677
-818.67,4371,26679
-818.28,4381,26683
-817.89,4389,26688
-817.51,4394,26695
-817.12,4402,26702
-816.74,4414,26713
-816.35,4426,26724
-815.96,4407,26734
-815.57,4414,26745
-815.19,4390,26756
-814.8,4357,26768
-814.41,4315,26779
-814.03,4313,26789
-813.64,4304,26799
-813.26,4308,26809
-812.87,4296,26818
-812.48,4288,26824
-812.09,4277,26831
-811.71,4272,26837
-811.32,4269,26843
-810.93,4270,26849
-810.54,4262,26854
-810.15,4259,26859
-809.76,4247,26864
-809.37,4225,26871
-808.98,4220,26877
-808.59,4210,26881
-808.2,4205,26886
-807.81,4193,26892
-807.42,4181,26896
-807.03,4171,26901
-806.64,4165,26904
-806.25,4151,26906
-805.86,4146,26908
-805.47,4135,26910
-805.08,4133,26911
-804.69,4094,26912
-804.3,4072,26913
-803.91,4064,26913
-803.52,4053,26914
-803.13,4044,26914
-802.74,4033,26914
-802.34,4018,26914
-801.95,4009,26914
-801.56,4002,26913
-801.17,4003,26912
-800.77,4006,26911
-800.38,4008,26910
-799.99,4009,26909
-799.6,4021,26907
-799.21,4042,26905
-798.82,4027,26903
-798.42,4031,26902
-798.03,4016,26901
-797.63,4011,26899
-797.24,4010,26897
-796.84,4013,26895
-796.45,4026,26894
-796.05,4038,26892
-795.66,4047,26891
-795.26,4054,26890
-794.87,4062,26888
-794.48,4069,26885
-794.08,4082,26882
-793.68,4088,26879
-793.29,4104,26877
-792.9,4122,26874
-792.5,4147,26871
-792.11,4172,26868
-791.71,4213,26865
-791.31,4313,26863
-790.92,4369,26861
-790.52,4435,26860
-790.13,4574,26860
-789.73,4641,26861
-789.34,4640,26863
-788.95,4652,26867
-788.55,4651,26873
-788.16,4625,26879
-787.77,4589,26887
-787.37,4598,26896
-786.97,4573,26905
-786.58,4522,26915
-786.18,4498,26925
-785.78,4479,26936
-785.39,4440,26946
-784.99,4414,26954
-784.59,4375,26962
-784.2,4390,26969
-783.8,4359,26975
-783.4,4316,26979
-783,4288,26982
-782.61,4276,26984
-782.22,4264,26982
-781.82,4248,26979
-781.43,4236,26971
-781.04,4213,26962
-780.64,4201,26949
-780.25,4196,26934
-779.85,4199,26915
-779.45,4206,26894
-779.06,4220,26870
-778.66,4225,26845
-778.26,4239,26818
-777.86,4242,26791
-777.47,4244,26763
-777.07,4235,26734
-776.67,4235,26708
-776.28,4238,26681
-775.88,4273,26656
-775.48,4253,26631
-775.09,4276,26611
-774.69,4272,26589
-774.3,4308,26572
-773.9,4356,26556
-773.51,4345,26543
-773.11,4343,26531
-772.72,4342,26521
-772.32,4334,26513
-771.93,4334,26506
-771.54,4320,26500
-771.15,4322,26495
-770.75,4299,26491
-770.36,4299,26488
-769.96,4309,26485
-769.56,4331,26484
-769.17,4352,26483
-768.77,4333,26482
-768.37,4303,26482
-767.98,4299,26484
-767.58,4289,26486
-767.19,4272,26488
-766.79,4252,26492
-766.39,4233,26495
-765.99,4211,26498
-765.6,4202,26501
-765.2,4187,26506
-764.81,4160,26509
-764.41,4143,26514
-764.02,4130,26519
-763.62,4124,26523
-763.23,4114,26528
-762.83,4115,26533
-762.43,4119,26538
-762.04,4122,26545
-761.64,4130,26553
-761.25,4126,26560
-760.85,4128,26568
-760.46,4139,26575
-760.06,4139,26581
-759.67,4142,26586
-759.28,4142,26591
-758.88,4156,26594
-758.48,4160,26595
-758.09,4171,26597
-757.69,4177,26601
-757.29,4178,26601
-756.89,4186,26604
-756.5,4207,26603
-756.1,4206,26603
-755.7,4214,26602
-755.31,4218,26601
-754.92,4234,26600
-754.52,4234,26599
-754.13,4226,26598
-753.73,4227,26597
-753.33,4228,26596
-752.94,4232,26594
-752.54,4223,26593
-752.14,4231,26592
-751.75,4227,26590
-751.35,4228,26589
-750.96,4233,26588
-750.57,4227,26585
-750.17,4220,26583
-749.78,4218,26580
-749.38,4213,26577
-748.99,4216,26575
-748.6,4215,26574
-748.21,4215,26573
-747.82,4213,26573
-747.42,4218,26572
-747.03,4210,26571
-746.64,4202,26571
-746.24,4201,26571
-745.85,4189,26570
-745.45,4186,26569
-745.05,4184,26567
-744.66,4177,26564
-744.26,4171,26561
-743.87,4176,26558
-743.47,4183,26555
-743.08,4185,26552
-742.69,4191,26549
-742.3,4191,26546
-741.9,4194,26545
-741.51,4197,26543
-741.12,4206,26542
-740.73,4202,26541
-740.34,4177,26540
-739.95,4156,26539
-739.56,4165,26539
-739.18,4161,26539
-738.79,4168,26540
-738.41,4182,26540
-738.02,4191,26541
-737.63,4221,26542
-737.24,4264,26544
-736.86,4321,26545
-736.47,4371,26548
-736.09,4374,26550
-735.7,4351,26553
-735.32,4326,26556
-734.93,4306,26559
-734.55,4456,26562
-734.16,4499,26565
-733.78,4494,26567
-733.4,4414,26569
-733.01,4385,26571
-732.63,4306,26573
-732.24,4260,26575
-731.86,4213,26577
-731.48,4194,26578
-731.1,4187,26580
-730.73,4187,26582
-730.35,4189,26585
-729.96,4193,26589
-729.58,4203,26592
-729.2,4206,26596
-728.82,4214,26600
-728.45,4229,26606
-728.07,4239,26613
-727.68,4260,26623
-727.3,4225,26634
-726.92,4231,26647
-726.55,4254,26661
-726.17,4275,26677
-725.79,4288,26694
-725.42,4300,26711
-725.04,4313,26728
-724.67,4330,26745
-724.29,4341,26761
-723.91,4350,26775
-723.54,4363,26789
-723.16,4385,26801
-722.78,4414,26811
-722.4,4445,26820
-722.02,4459,26828
-721.63,4474,26834
-721.25,4461,26838
-720.87,4472,26840
-720.5,4547,26840
-720.12,4494,26839
-719.74,4460,26836
-719.37,4431,26831
-718.99,4496,26824
-718.61,4528,26815
-718.24,4528,26804
-717.86,4520,26793
-717.48,4551,26780
-717.1,4592,26764
-716.72,4587,26747
-716.34,4523,26729
-715.97,4548,26709
-715.59,4635,26688
-715.22,4703,26667
-714.85,4720,26645
-714.47,4724,26623
-714.09,4711,26602
-713.72,4618,26581
-713.35,4553,26561
-712.97,4500,26545
-712.6,4470,26530
-712.22,4452,26517
-711.85,4468,26506
-711.47,4438,26496
-711.09,4436,26490
-710.72,4431,26485
-710.34,4421,26482
-709.96,4423,26481
-709.59,4389,26481
-709.21,4387,26483
-708.84,4398,26486
-708.46,4374,26491
-708.09,4366,26497
-707.71,4357,26504
-707.34,4345,26512
-706.97,4343,26522
-706.59,4346,26532
-706.22,4340,26544
-705.84,4354,26555
-705.46,4376,26568
-705.08,4355,26582
-704.71,4342,26598
-704.33,4314,26615
-703.96,4309,26632
-703.58,4306,26650
-703.21,4301,26667
-702.83,4306,26685
-702.46,4301,26701
-702.09,4298,26716
-701.71,4315,26730
-701.34,4284,26741
-700.97,4286,26751
-700.6,4268,26758
-700.23,4269,26762
-699.86,4268,26765
-699.49,4271,26765
-699.12,4270,26762
-698.75,4267,26759
-698.38,4261,26753
-698.01,4259,26747
-697.64,4258,26739
-697.27,4257,26731
-696.9,4256,26722
-696.53,4255,26713
-696.16,4251,26704
-695.79,4258,26694
-695.42,4257,26685
-695.06,4248,26677
-694.69,4241,26670
-694.33,4244,26664
-693.96,4232,26660
-693.59,4235,26657
-693.22,4243,26655
-692.84,4236,26655
-692.47,4251,26657
-692.1,4247,26658
-691.73,4248,26661
-691.37,4241,26664
-691,4239,26666
-690.63,4241,26667
-690.26,4241,26667
-689.89,4239,26665
-689.51,4249,26661
-689.14,4240,26656
-688.77,4235,26648
-688.4,4239,26639
-688.02,4238,26628
-687.65,4239,26615
-687.28,4237,26600
-686.91,4243,26586
-686.54,4242,26570
-686.17,4247,26554
-685.81,4237,26538
-685.45,4235,26524
-685.08,4234,26511
-684.72,4237,26498
-684.35,4245,26487
-683.98,4241,26477
-683.62,4235,26469
-683.25,4215,26462
-682.89,4202,26456
-682.52,4191,26452
-682.16,4187,26449
-681.79,4193,26447
-681.42,4197,26446
-681.05,4208,26445
-680.69,4215,26444
-680.32,4224,26444
